City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,auburn,47.3073,-122.2284,285.02,86,75,4.63,US,1706841965
258,ruston,32.5232,-92.6379,285.05,82,40,2.57,US,1706842180
259,pekanbaru,0.5333,101.45,300.33,89,75,0.0,ID,1706842157
260,chernyshevskiy,63.0128,112.4714,244.23,97,100,0.96,RU,1706842181
261,isperih,43.7167,26.8333,273.61,74,64,2.67,BG,1706842181
262,tarko-sale,64.9225,77.785,258.84,92,100,8.02,RU,1706842181
263,abu dhabi,24.4667,54.3667,297.21,83,0,0.51,AE,1706841976
264,matoury,4.8483,-52.3317,297.13,94,20,0.0,GF,1706842182
265,tostado,-29.232,-61.7692,298.7,54,0,4.58,AR,1706842182
266,usogorsk,63.4106,48.6872,268.52,95,100,4.89,RU,1706842183
267,kargat,55.1956,80.2811,264.05,96,100,3.38,RU,1706842183
268,qarazhal,48.0078,70.7903,256.84,95,92,6.41,KZ,1706842183
269,synel'nykove,48.3204,35.5179,271.93,95,25,4.39,UA,1706842184
270,vorgashor,67.5833,63.95,263.76,83,100,3.49,RU,1706842184
271,moree,-29.4667,149.85,309.19,26,8,3.95,AU,1706842184
272,santo antonio do ica,-3.1022,-67.9397,297.08,99,100,1.32,BR,1706842185
273,bam,29.106,58.357,284.05,51,0,2.35,IR,1706842185
274,saint-joseph,-21.3667,55.6167,297.36,84,45,8.4,RE,1706842185
275,ponta delgada,37.7333,-25.6667,291.59,88,20,5.14,PT,1706841957
276,sabang,5.8933,95.3214,301.07,72,98,7.14,ID,1706842186
277,sinop,41.7711,34.8709,273.62,75,16,0.88,TR,1706842187
278,alva,56.1528,-3.8051,283.34,89,100,7.54,GB,1706842187
279,prieska,-29.6641,22.7474,299.39,45,100,0.72,ZA,1706842187
280,saldanha,-33.0117,17.9442,294.18,84,6,1.07,ZA,1706842188
281,kingston,17.997,-76.7936,297.68,88,40,7.2,JM,1706842176
282,hovd,48.0056,91.6419,253.67,91,99,0.6,MN,1706842189
283,port mathurin,-19.6833,63.4167,300.56,81,29,11.71,MU,1706842189
284,medicine hat,50.0501,-110.6683,281.39,47,20,1.54,CA,1706841993
285,san jose del guaviare,2.5729,-72.6459,296.58,95,74,1.2,CO,1706842189
286,hilo,19.7297,-155.09,300.98,78,100,4.12,US,1706842118
287,vadso,70.0744,29.7487,272.24,93,40,14.92,NO,1706841831
288,colonia,50.9333,6.95,279.2,83,0,1.03,DE,1706842073
289,batang,-6.4846,110.7083,302.2,74,79,3.02,ID,1706841903
290,joaquin v. gonzalez,-25.0833,-64.1833,300.71,57,100,1.72,AR,1706842191
291,cole harbour,44.6724,-63.4751,274.1,93,100,2.24,CA,1706842191
292,ilukste,55.9775,26.2966,271.77,85,48,4.96,LV,1706842192
293,fortuna,40.5982,-124.1573,283.11,95,40,4.63,US,1706842192
294,broome,42.2506,-75.833,276.36,95,100,3.6,US,1706842192
295,pandan,14.0453,124.1694,300.83,72,27,4.93,PH,1706842193
296,dahlonega,34.5326,-83.9849,282.27,66,100,1.99,US,1706842193
297,sinabang,2.4803,96.3801,301.12,80,94,2.19,ID,1706842193
298,luderitz,-26.6481,15.1594,294.11,79,60,3.53,NA,1706842194
299,burhanuddin,22.4918,90.7235,292.53,80,96,1.31,BD,1706842194
300,fraserburgh,57.6874,-2.0184,284.33,78,97,9.99,GB,1706842194
301,motueka,-41.1333,173.0167,292.65,92,96,7.85,NZ,1706842195
302,elliot lake,46.3834,-82.6331,266.18,84,31,4.37,CA,1706842195
303,norderney,53.7,7.15,278.74,97,100,9.56,DE,1706842195
304,extrema,-22.8547,-46.3183,289.7,97,8,1.64,BR,1706842196
305,wynyard,-41.0,145.7167,292.37,38,5,7.04,AU,1706841969
306,kudahuvadhoo,2.6708,72.8944,300.91,77,8,5.19,MV,1706842196
307,kuytun,54.3419,101.5036,251.85,95,98,2.14,RU,1706842197
308,vilyuysk,63.7553,121.6247,246.48,99,97,2.24,RU,1706842197
309,olyokminsk,60.3736,120.4264,250.52,96,100,1.4,RU,1706842197
310,sijunjung,-0.6876,100.9537,300.39,81,94,0.17,ID,1706842198
311,gornopravdinsk,60.05,69.9,251.12,100,92,1.75,RU,1706842198
312,koryazhma,61.3143,47.1691,266.99,93,100,4.26,RU,1706842198
313,jindabyne,-36.4167,148.6333,300.79,18,0,3.97,AU,1706842199
314,dudinka,69.4058,86.1778,259.64,92,100,11.62,RU,1706841772
315,egilsstadir,65.2653,-14.3948,273.1,86,100,1.54,IS,1706841945
316,nantucket,41.2835,-70.0995,277.59,81,100,5.66,US,1706842053
317,mermoz boabab,14.7065,-17.4758,299.46,52,23,5.9,SN,1706842200
318,embarcacion,-23.209,-64.096,295.55,89,100,2.52,AR,1706842200
319,erbil,36.1926,44.0106,276.05,81,20,3.6,IQ,1706841943
320,songjiang,31.036,121.2146,278.74,80,100,4.02,CN,1706842202
321,pont rouge,48.8833,-72.0825,267.31,95,100,3.41,CA,1706842202
